mean,std_val,rms,p2p,kurtosis,skew,energy,iqr,abs_mean,median,zcr,crest_factor,variance,max_abs,min_abs,label,source_file
1.04352,0.47396874,1.1461153,1.966,-0.054309424,0.28729403,65.679016,0.47075,1.04352,1.024,0.0,0.57305765,0.22464637,2.0,0.034,1,Dataset_Smooth.csv
0.8579,0.83560425,1.1975921,3.691,0.35415155,-0.5351035,71.71134,1.24,1.01778,0.793,0.1,0.59879607,0.6982345,2.0,0.034,1,Dataset_Smooth.csv
0.638,0.90028566,1.1034303,3.691,-0.4308969,-0.21016787,60.87791,1.2505,0.90988,0.573,0.28,0.55171514,0.8105142,2.0,0.011,2,Dataset_Smooth.csv
0.75762,0.59463274,0.9631075,3.025,1.3430301,-0.8716647,46.378807,0.50475,0.86962,0.976,0.16,0.48155376,0.35358807,2.0,0.011,1,Dataset_Smooth.csv
0.99996,0.09694885,1.0046487,0.592,10.633558,-3.124037,50.465954,0.0095,0.99996,1.025,0.0,0.86607647,0.009399079,1.16,0.568,0,Dataset_Smooth.csv
1.02674,0.004288636,1.026749,0.02,-0.08310841,-0.05093806,52.71067,0.00575,1.02674,1.027,0.0,0.992028,1.83924e-05,1.035,1.015,0,Dataset_Smooth.csv
1.0365,0.1629475,1.0492302,1.392,13.636338,1.3106092,55.04421,0.00775,1.0365,1.027,0.0,0.58420396,0.02655189,1.796,0.404,1,Dataset_Smooth.csv
1.0379,0.37581274,1.103844,2.477,4.9996142,-0.76179385,60.92358,0.17025,1.05698,1.028,0.04,0.551922,0.1412352,2.0,0.404,1,Dataset_Smooth.csv
1.0386,0.38220435,1.1066933,2.477,4.8869834,-0.5230072,61.238506,0.257,1.05768,1.0305,0.04,0.55334663,0.14608017,2.0,0.469,1,Dataset_Smooth.csv
1.08164,0.28062722,1.117451,1.626,4.260649,1.4410964,62.434837,0.0435,1.08164,1.0295,0.0,0.5587255,0.07875163,2.0,0.374,1,Dataset_Smooth.csv
1.07158,0.21969415,1.093869,1.587,9.321274,1.9252613,59.82746,0.00675,1.07158,1.028,0.0,0.5578118,0.048265524,1.961,0.374,1,Dataset_Smooth.csv
1.02812,0.004038019,1.0281279,0.016,-0.5825979,0.060269915,52.852352,0.006,1.02812,1.028,0.0,0.9924015,1.63056e-05,1.036,1.02,0,Dataset_Smooth.csv
1.02864,0.004097609,1.0286481,0.017,-0.447801,-0.10521303,52.905853,0.005,1.02864,1.029,0.0,0.99290365,1.67904e-05,1.036,1.019,0,Dataset_Smooth.csv
1.028,0.0041617304,1.0280085,0.018,-0.3292875,-0.070385806,52.840065,0.006,1.028,1.028,0.0,0.99132925,1.732e-05,1.037,1.019,0,Dataset_Smooth.csv
1.02784,0.0042912,1.027849,0.022,0.74267524,0.48758158,52.823673,0.00575,1.02784,1.027,0.0,0.9873669,1.84144e-05,1.041,1.019,0,Dataset_Smooth.csv
1.029,0.004983974,1.0290121,0.021,-0.21622941,0.36282924,52.94329,0.005,1.029,1.029,0.0,0.9884842,2.484e-05,1.041,1.02,0,Dataset_Smooth.csv
1.0288,0.00523832,1.0288134,0.021,-0.50339395,-0.12689497,52.922844,0.00675,1.0288,1.028,0.0,0.9901957,2.744e-05,1.039,1.018,0,Dataset_Smooth.csv
1.02824,0.004726775,1.0282508,0.017,-0.55465305,-0.5626301,52.86499,0.007,1.02824,1.029,0.0,0.9934791,2.23424e-05,1.035,1.018,0,Dataset_Smooth.csv
1.02832,0.0049616126,1.028332,0.022,-0.32515368,-0.3642591,52.873333,0.007,1.02832,1.029,0.0,0.9897324,2.46176e-05,1.039,1.017,0,Dataset_Smooth.csv
1.01028,0.30731013,1.0559855,1.816,2.8493767,0.28210083,55.75526,0.05375,1.01028,1.0275,0.0,0.5279927,0.09443952,2.0,0.184,1,Dataset_Smooth.csv
1.04072,0.41139683,1.1190825,1.816,0.40656146,0.49027583,62.617275,0.43475,1.04072,1.0295,0.0,0.5595412,0.16924736,2.0,0.184,1,Dataset_Smooth.csv
1.0583,0.27158743,1.0925926,1.605,5.486542,1.5401133,59.68793,0.01575,1.0583,1.0285,0.0,0.5462963,0.07375973,2.0,0.395,1,Dataset_Smooth.csv
1.02712,0.0046244566,1.0271304,0.019,-0.55424154,0.14242724,52.749844,0.006,1.02712,1.0275,0.0,0.9914386,2.13856e-05,1.036,1.017,0,Dataset_Smooth.csv
